tdtfile,medfile,rat,session,box,dietgroup,date,bottleL,bottleR,licksL,licksR,Totallicks,missedtrials,intakeL,intakeR,sig-blue,sig-uv,ttl-trialL,ttl-trialR,ttl-lickL,ttl-lickR,include-mat,include-py,endcol
Giulia-180719-115748,!2018-07-19_11h47m.Subject PPP3.6,PPP3.6,s9,1.0,NR,19072018.0,caseinCH,empty,2457.0,0.0,2457.0,3.0,10.0,0.0,D1B2,D2B2,LT1_,RT1_,LL1_,RL1_,0.0,0.0,0.0
Giulia-180719-111656,!2018-07-19_11h05m.Subject PPP3.7,PPP3.7,s9,2.0,NR,19072018.0,empty,maltoCH,0.0,3317.0,3317.0,0.0,0.0,15.0,D3B2,D4B2,LT2_,RT2_,LL2_,RL2_,0.0,0.0,0.0
Giulia-180719-111656,!2018-07-19_11h05m.Subject PPP3.8,PPP3.8,s9,1.0,PR,19072018.0,empty,caseinCH,0.0,2237.0,2237.0,1.0,0.0,19.0,D1B2,D2B2,LT1_,RT1_,LL1_,RL1_,0.0,0.0,0.0
Giulia-180720-114025,!2018-07-20_11h26m.Subject PPP3.1,PPP3.1,s10,1.0,NR,20072018.0,caseinGR,maltodextrinCH,1039.0,1036.0,2075.0,2.0,8.0,10.0,D1B2,D2B2,LT1_,RT1_,LL1_,RL1_,0.0,1.0,0.0
Giulia-180720-114025,!2018-07-20_11h26m.Subject PPP3.2,PPP3.2,s10,2.0,NR,20072018.0,maltodextrinCH,caseinGR,1074.0,963.0,2037.0,0.0,12.0,8.0,D3B2,D4B2,LT2_,RT2_,LL2_,RL2_,0.0,0.0,0.0
Giulia-180720-105120,!2018-07-20_10h26m.Subject PPP3.3,PPP3.3,s10,1.0,PR,20072018.0,caseinGR,maltodextrinCH,1195.0,587.0,1782.0,2.0,10.0,6.0,D1B2,D2B2,LT1_,RT1_,LL1_,RL1_,0.0,0.0,0.0
Giulia-180720-105120,!2018-07-20_10h27m.Subject PPP3.4,PPP3.4,s10,2.0,PR,20072018.0,maltodextrinCH,caseinGR,802.0,1233.0,2035.0,0.0,8.0,23.0,D3B2,D4B2,LT2_,RT2_,LL2_,RL2_,0.0,0.0,0.0
Giulia-180720-095642,!2018-07-20_09h35m.Subject PPP3.6,PPP3.5,s10,2.0,NR,20072018.0,maltodextrinGR,caseinCH,1035.0,1188.0,2223.0,0.0,11.0,11.0,D3B2,D4B2,LT2_,RT2_,LL2_,RL2_,0.0,0.0,0.0
Giulia-180720-095642,!2018-07-20_09h35m.Subject PPP3.6,PPP3.6,s10,1.0,NR,20072018.0,caseinCH,maltodextrinGR,1087.0,1078.0,2165.0,0.0,7.0,13.0,D1B2,D2B2,LT1_,RT1_,LL1_,RL1_,0.0,0.0,0.0
Giulia-180720-090328,!2018-07-20_08h31m.Subject PPP3.7,PPP3.7,s10,2.0,NR,20072018.0,caseinGR,maltodextrinCH,1143.0,1288.0,2431.0,0.0,17.0,10.0,D3B2,D4B2,LT2_,RT2_,LL2_,RL2_,0.0,0.0,0.0
Giulia-180720-090328,!2018-07-20_08h30m.Subject PPP3.8,PPP3.8,s10,1.0,PR,20072018.0,maltodextrinGR,caseinCH,1327.0,638.0,1965.0,10.0,11.0,8.0,D1B2,D2B2,LT1_,RT1_,LL1_,RL1_,0.0,0.0,0.0
Giulia-180727-113015,!2018-07-27_11h11m.Subject PPP3.1,PPP3.1,S11,1.0,PR,27072018.0,caseinGR,maltodextrinCH,1278.0,721.0,1999.0,0.0,13.0,8.0,,,,,,,,,
Giulia-180727-113015,!2018-07-27_11h11m.Subject PPP3.2,PPP3.2,S11,2.0,PR,27072018.0,maltodextrinCH,caseinGR,859.0,1238.0,2097.0,0.0,10.0,12.0,,,,,,,,,
Giulia-180727-095349,!2018-07-27_09h35m.Subject PPP3.3,PPP3.3,S11,1.0,NR,27072018.0,caseinGR,maltodextrinCH,1039.0,334.0,1373.0,5.0,9.0,6.0,,,,,,,,,
Giulia-180727-095349,!2018-07-27_09h35m.Subject PPP3.4,PPP3.4,S11,2.0,NR,27072018.0,maltodextrinCH,caseinGR,1113.0,948.0,2061.0,0.0,20.0,13.0,,,,,,,,,
Giulia-180727-085928,!2018-07-27_08h30m.Subject PPP3.5,PPP3.5,S11,2.0,PR,27072018.0,maltodextrinGR,caseinCH,,,0.0,,7.0,11.0,,,,,,,,,
Giulia-180727-085928,!2018-07-27_08h30m.Subject PPP3.6,PPP3.6,S11,1.0,PR,27072018.0,caseinCH,maltodextrinGR,1091.0,1110.0,2201.0,,11.0,12.0,,,,,,,,,
Giulia-180727-104440,!2018-07-27_10h31m.Subject ppp3.7,PPP3.7,S11,2.0,PR,27072018.0,caseinGR,maltodextrinCH,1131.0,1248.0,2379.0,,9.0,10.0,,,,,,,,,
Giulia-180727-104440,!2018-07-27_10h31m.Subject ppp3.8,PPP3.8,S11,1.0,NR,27072018.0,maltodextrinGR,caseinCH,1135.0,801.0,1936.0,2.0,13.0,9.0,,,,,,,,,
